l0_id,l0_capability,l1_id,l1_feature,competitor_signals,source_urls,value_score,urgency,effort,priority,l2_feature_id,l2_domain,l2_owner_team,l2_state,target_window,evidence_gate
L0-01,Autonomous Task Execution and Browser/Computer Use,L1-01-01,Browser action mode with takeover checkpoints,OpenAI Operator; Claude Sonnet 4.6 computer use (Vercept acquisition); xAI tool-calling/agents,https://openai.com/index/introducing-operator/ | https://x.ai/blog,95,high,medium,P0,NAI-TOOLS-TOOLING-00001,TOOLS,tooling-runtime,specified,2026-Q2,approval flow tests + audit trail
L0-01,Autonomous Task Execution and Browser/Computer Use,L1-01-02,Multi-step task planning and resumable execution,OpenAI Operator; Claude Opus 4.6 long-horizon agentic workflows; Claude Sonnet 4.6 planning,https://openai.com/index/introducing-operator/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6,92,high,medium,P0,NAI-CORE-RUNTIME-00001,CORE,core-agent,specified,2026-Q2,trace replay tests + failure resume benchmark
L0-01,Autonomous Task Execution and Browser/Computer Use,L1-01-03,Concurrent task sessions with per-task control,OpenAI Operator multi-task sessions; Microsoft Copilot tasks,https://openai.com/index/introducing-operator/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/2026/02/26/copilot-tasks-from-answers-to-actions/,88,high,medium,P1,NAI-MULTIAGENT-RUNTIME-00001,MULTIAGENT,multiagent-runtime,specified,2026-Q3,concurrency reliability tests
L0-01,Autonomous Task Execution and Browser/Computer Use,L1-01-04,Sensitive action confirmation workflow,OpenAI Operator confirmations/watch mode,https://openai.com/index/introducing-operator/,96,high,low,P0,NAI-SAFETY-SECURITY-00001,SAFETY,safety-runtime,specified,2026-Q2,approval-required integration tests
L0-02,Agentic Coding and Dev Workflow Automation,L1-02-01,Repo-aware coding agent with edit-run-verify loops,Claude Opus 4.6 agent teams; Claude Sonnet 4.6 coding; GPT-5.3-Codex agentic coding; Google Gemini coding,https://www.anthropic.com/news/claude-sonnet-4-6 | https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news/claude-opus-4-6 | https://openai.com/index/introducing-gpt-5-3-codex/,93,high,medium,P0,NAI-CORE-RUNTIME-00002,CORE,core-agent,specified,2026-Q2,coding task benchmark + contract tests
L0-02,Agentic Coding and Dev Workflow Automation,L1-02-02,Bug-fix autopilot with rollback checkpoints,Anthropic internal coding evals; xAI code models,https://www.anthropic.com/news/claude-sonnet-4-6 | https://x.ai/blog,90,high,medium,P1,NAI-TOOLS-TOOLING-00002,TOOLS,tooling-runtime,specified,2026-Q3,rollback safety tests
L0-02,Agentic Coding and Dev Workflow Automation,L1-02-03,Code migration assistant for legacy stacks,Anthropic code modernization positioning,https://www.anthropic.com/news | https://www.anthropic.com/news/claude-sonnet-4-6,84,medium,high,P2,NAI-TOOLS-TOOLING-00003,TOOLS,tooling-runtime,specified,2026-Q3,migration success benchmark
L0-02,Agentic Coding and Dev Workflow Automation,L1-02-04,Coding benchmark harness and regression gates,Claude Sonnet 4.6 + Opus 4.6 coding eval improvements; Gemini benchmark transparency,https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6,91,high,low,P0,NAI-EVAL-EVALUATION-00001,EVAL,eval-quality,specified,2026-Q2,benchmark result persistence + CI gate
L0-03,Native Multimodality,L1-03-01,Image understanding with chart/table extraction,Claude Sonnet 4.6 computer use + vision; Gemini multimodal reasoning,https://www.anthropic.com/news/claude-sonnet-4-6 | https://deepmind.google/technologies/gemini/,89,high,medium,P1,NAI-MULTIMODAL-RUNTIME-00001,MULTIMODAL,multimodal-runtime,specified,2026-Q2,multimodal eval set
L0-03,Native Multimodality,L1-03-02,Audio live interaction and voice agent surface,Gemini Flash Live; xAI Voice Agent API,https://blog.google/products/gemini/ | https://x.ai/blog,87,high,medium,P1,NAI-MULTIMODAL-RUNTIME-00002,MULTIMODAL,multimodal-runtime,specified,2026-Q3,streaming audio latency benchmark
L0-03,Native Multimodality,L1-03-03,Video generation and editing orchestration,Google Veo announcements; OpenAI Sora positioning,https://blog.google/technology/ai/ | https://openai.com/index/,80,medium,high,P2,NAI-MULTIMODAL-RUNTIME-00003,MULTIMODAL,multimodal-runtime,specified,2026-Q4,video workflow integration tests
L0-03,Native Multimodality,L1-03-04,Document and mixed-media reasoning pipeline,Gemini multimodal; enterprise workflow signals,https://deepmind.google/technologies/gemini/ | https://blog.google/products/gemini/,85,medium,medium,P1,NAI-MULTIMODAL-RUNTIME-00004,MULTIMODAL,multimodal-runtime,specified,2026-Q3,doc QA accuracy benchmark
L0-04,Tool Calling and External Action Reliability,L1-04-01,Robust tool call retries with typed error handling,Operator task reliability; Copilot action reliability,https://openai.com/index/introducing-operator/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/,94,high,low,P0,NAI-TOOLS-TOOLING-00004,TOOLS,tooling-runtime,specified,2026-Q2,retry/backoff contract tests
L0-04,Tool Calling and External Action Reliability,L1-04-02,Tool sandbox policy profiles by risk level,Claude Sonnet 4.6 safety system card; OpenAI policy layers,https://openai.com/index/introducing-operator/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6,93,high,medium,P0,NAI-SAFETY-SECURITY-00002,SAFETY,safety-runtime,specified,2026-Q2,policy matrix tests
L0-04,Tool Calling and External Action Reliability,L1-04-03,Tool result provenance and audit tracing,Enterprise governance trend across vendors,https://www.microsoft.com/en-us/microsoft-copilot/blog/ | https://www.anthropic.com/news,88,high,medium,P1,NAI-OBS-OPS-00001,OBS,observability,specified,2026-Q3,trace integrity checks
L0-04,Tool Calling and External Action Reliability,L1-04-04,Human confirmation before irreversible actions,Operator confirmation design,https://openai.com/index/introducing-operator/,95,high,low,P0,NAI-AUTH-SECURITY-00001,AUTH,identity-access,specified,2026-Q2,approval + authz integration tests
L0-05,Memory and Long-Context Personalization,L1-05-01,User preference memory with explicit controls,Claude Sonnet 4.6 memory tool (GA); Gemini personalization flows,https://www.anthropic.com/news/claude-sonnet-4-6 | https://blog.google/products/gemini/,90,high,medium,P1,NAI-MEMORY-RUNTIME-00001,MEMORY,memory-systems,specified,2026-Q2,memory preference persistence tests
L0-05,Memory and Long-Context Personalization,L1-05-02,Session-to-session memory summaries,assistant continuity trend across major assistants,https://blog.google/products/gemini/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/,86,high,low,P1,NAI-MEMORY-RUNTIME-00002,MEMORY,memory-systems,specified,2026-Q2,summary recall regression tests
L0-05,Memory and Long-Context Personalization,L1-05-03,Long-context retrieval prioritization strategies,Gemini long context and benchmark emphasis,https://deepmind.google/technologies/gemini/,84,medium,medium,P2,NAI-MEMORY-RUNTIME-00003,MEMORY,memory-systems,specified,2026-Q3,retrieval quality benchmark
L0-05,Memory and Long-Context Personalization,L1-05-04,Memory privacy controls and retention policies,Claude Sonnet 4.6 + Opus 4.6 safety evaluations; OpenAI privacy controls,https://openai.com/index/introducing-operator/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6,92,high,low,P0,NAI-SAFETY-SECURITY-00003,SAFETY,safety-runtime,specified,2026-Q2,privacy config tests
L0-06,Real-Time Search and Retrieval-Grounded Answers,L1-06-01,Built-in web retrieval with grounding citations,xAI realtime search; Copilot AI search; Gemini search tasks,https://x.ai/blog | https://www.microsoft.com/en-us/microsoft-copilot/blog/ | https://deepmind.google/technologies/gemini/,93,high,medium,P0,NAI-ROUTER-RUNTIME-00002,ROUTER,routing-platform,specified,2026-Q2,grounding citation checks
L0-06,Real-Time Search and Retrieval-Grounded Answers,L1-06-02,Search+tool workflows for multi-hop tasks,Gemini agentic tasks; Operator web workflows,https://deepmind.google/technologies/gemini/ | https://openai.com/index/introducing-operator/,90,high,medium,P1,NAI-CORE-RUNTIME-00003,CORE,core-agent,specified,2026-Q3,multi-hop success benchmark
L0-06,Real-Time Search and Retrieval-Grounded Answers,L1-06-03,Hallucination guardrails for missing evidence,Safety trust pressure across all competitors,https://openai.com/index/ | https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,95,high,medium,P0,NAI-SAFETY-SECURITY-00004,SAFETY,safety-runtime,specified,2026-Q2,evidence-required response tests
L0-06,Real-Time Search and Retrieval-Grounded Answers,L1-06-04,Retrieval quality scoring and feedback loop,benchmark and quality trend in Gemini/Anthropic disclosures,https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news/claude-sonnet-4-6,87,medium,low,P1,NAI-EVAL-EVALUATION-00002,EVAL,eval-quality,specified,2026-Q3,retrieval eval dashboard
L0-07,Collaborative Workspace and Artifacts,L1-07-01,Side-by-side artifact workspace for outputs,Claude Sonnet 4.6 Claude Cowork + artifact workspace; coding workspace expectations,https://www.anthropic.com/news/claude-sonnet-4-6,89,high,medium,P1,NAI-UX-UX-00001,UX,ux-product,specified,2026-Q2,artifact pane UX tests
L0-07,Collaborative Workspace and Artifacts,L1-07-02,Iterative artifact editing with version history,Artifacts and team workflow trend,https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.microsoft.com/en-us/microsoft-copilot/blog/,86,medium,medium,P1,NAI-DATA-RUNTIME-00001,DATA,data-runtime,specified,2026-Q3,artifact version integrity tests
L0-07,Collaborative Workspace and Artifacts,L1-07-03,Team-shared workspace contexts,Enterprise team collaboration trend,https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,85,medium,high,P2,NAI-PLATFORM-OPS-00001,PLATFORM,platform-selfhost,specified,2026-Q4,workspace authz tests
L0-07,Collaborative Workspace and Artifacts,L1-07-04,Artifact export/import compatibility,Cross-platform workflow parity pressure,https://blog.google/products/gemini/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/,82,medium,medium,P2,NAI-API-CONTRACT-00002,API,api-platform,specified,2026-Q3,format compatibility tests
L0-08,Enterprise and Team Governance,L1-08-01,Team policies for tool and data access,Enterprise plans and controls across OpenAI/Anthropic/Microsoft,https://openai.com/index/ | https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,94,high,medium,P0,NAI-AUTH-SECURITY-00002,AUTH,identity-access,specified,2026-Q2,policy enforcement tests
L0-08,Enterprise and Team Governance,L1-08-02,Role-based access control and approvals,Operator confirmation + enterprise admin trends,https://openai.com/index/introducing-operator/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/,91,high,medium,P0,NAI-AUTH-SECURITY-00003,AUTH,identity-access,specified,2026-Q2,rbac matrix tests
L0-08,Enterprise and Team Governance,L1-08-03,Regional compliance and deployment controls,Regional compliance surfaced in Anthropic ecosystem,https://www.anthropic.com/news | https://www.anthropic.com/news/claude-sonnet-4-6,88,high,high,P1,NAI-PLATFORM-OPS-00002,PLATFORM,platform-selfhost,specified,2026-Q3,compliance policy checks
L0-08,Enterprise and Team Governance,L1-08-04,Enterprise connectors and managed integrations,Anthropic connectors/plugins; Microsoft ecosystem pressure,https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,89,high,high,P1,NAI-TOOLS-TOOLING-00005,TOOLS,tooling-runtime,specified,2026-Q3,connector reliability tests
L0-09,Safety Oversight and Policy Enforcement,L1-09-01,Multi-layer safety pipeline with monitor model,OpenAI monitor model and safeguards; Anthropic RSP framing,https://openai.com/index/introducing-operator/ | https://www.anthropic.com/news,96,high,medium,P0,NAI-SAFETY-SECURITY-00005,SAFETY,safety-runtime,specified,2026-Q2,safety pipeline end-to-end tests
L0-09,Safety Oversight and Policy Enforcement,L1-09-02,Prompt-injection and adversarial content defenses,Operator anti-prompt-injection safeguards,https://openai.com/index/introducing-operator/,95,high,medium,P0,NAI-SAFETY-SECURITY-00006,SAFETY,safety-runtime,specified,2026-Q2,adversarial eval suite
L0-09,Safety Oversight and Policy Enforcement,L1-09-03,Action policy gating for high-stakes tasks,Operator task limitations and watch mode,https://openai.com/index/introducing-operator/,94,high,low,P0,NAI-SAFETY-SECURITY-00007,SAFETY,safety-runtime,specified,2026-Q2,high-stakes denylist tests
L0-09,Safety Oversight and Policy Enforcement,L1-09-04,Audit-ready safety event logging,enterprise safety accountability trend,https://openai.com/index/ | https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,90,high,medium,P1,NAI-OBS-OPS-00002,OBS,observability,specified,2026-Q3,audit log completeness tests
L0-10,Cost Latency and Routing Intelligence,L1-10-01,Dynamic model routing by task complexity,Gemini model family surfaces; GPT-5.3 Instant fast tier; Claude effort controls (low/med/high/max),https://deepmind.google/technologies/gemini/ | https://x.ai/blog | https://openai.com/index/ | https://openai.com/gpt-5/,93,high,medium,P0,NAI-ROUTER-RUNTIME-00003,ROUTER,routing-platform,specified,2026-Q2,routing quality benchmark
L0-10,Cost Latency and Routing Intelligence,L1-10-02,Latency-aware fallback and cooldown behavior,provider reliability and fallback pressure,https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news,89,high,low,P1,NAI-ROUTER-RUNTIME-00004,ROUTER,routing-platform,specified,2026-Q2,p95/p99 fallback tests
L0-10,Cost Latency and Routing Intelligence,L1-10-03,Budget-aware inference and cost controls,API pricing and enterprise budget controls,https://openai.com/index/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://x.ai/blog,91,high,medium,P1,NAI-PERF-PERFORMANCE-00001,PERF,performance-engineering,specified,2026-Q3,cost guardrail tests
L0-10,Cost Latency and Routing Intelligence,L1-10-04,SLO dashboards for p95 and reliability,benchmark/slo emphasis across vendors,https://deepmind.google/technologies/gemini/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/,87,medium,low,P1,NAI-OBS-OPS-00003,OBS,observability,specified,2026-Q3,slo dashboard checks
L0-11,Evaluation Benchmarking and Quality Operations,L1-11-01,Unified benchmark runner for agentic tasks,Gemini benchmark publication; Claude Sonnet 4.6 + Opus 4.6 eval transparency; GPT-5.3-Codex SWE-bench,https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6 | https://openai.com/index/introducing-gpt-5-3-codex/,92,high,medium,P0,NAI-EVAL-EVALUATION-00003,EVAL,eval-quality,specified,2026-Q2,benchmark harness CI
L0-11,Evaluation Benchmarking and Quality Operations,L1-11-02,Continuous regression detection by capability cluster,rapid model release cadence signals from competitors,https://openai.com/index/ | https://x.ai/blog | https://blog.google/products/gemini/,90,high,medium,P1,NAI-EVAL-EVALUATION-00004,EVAL,eval-quality,specified,2026-Q3,cluster regression alarms
L0-11,Evaluation Benchmarking and Quality Operations,L1-11-03,Human feedback integration into quality tracking,product feedback loops highlighted in announcements,https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.microsoft.com/en-us/microsoft-copilot/blog/,86,medium,low,P1,NAI-EVAL-EVALUATION-00005,EVAL,eval-quality,specified,2026-Q3,feedback ingestion tests
L0-11,Evaluation Benchmarking and Quality Operations,L1-11-04,Safety benchmark tracking and release gating,Claude Opus 4.6 system card safety gate; OpenAI safety disclosures,https://openai.com/index/ | https://www.anthropic.com/news | https://www.anthropic.com/news/claude-opus-4-6,94,high,medium,P0,NAI-SAFETY-SECURITY-00008,SAFETY,safety-runtime,specified,2026-Q2,safety gate release tests
L0-12,Platform and API Ecosystem Expansion,L1-12-01,API parity for key assistant and agent features,"GPT-5/GPT-5.3-Codex API expansion; Claude Opus 4.6 API (adaptive thinking, effort, compaction); Gemini API",https://openai.com/index/introducing-operator/ | https://x.ai/blog | https://deepmind.google/technologies/gemini/ | https://openai.com/gpt-5/ | https://openai.com/index/introducing-gpt-5-3-codex/ | https://www.anthropic.com/news/claude-opus-4-6,93,high,medium,P0,NAI-API-CONTRACT-00003,API,api-platform,specified,2026-Q2,api parity contract tests
L0-12,Platform and API Ecosystem Expansion,L1-12-02,Marketplace and connectors for third-party extensions,Anthropic marketplace/plugins/connectors; partner ecosystems,https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,88,medium,high,P1,NAI-TOOLS-TOOLING-00006,TOOLS,tooling-runtime,specified,2026-Q3,connector lifecycle tests
L0-12,Platform and API Ecosystem Expansion,L1-12-03,SDK and docs improvements for rapid adoption,API-first competition and developer UX pressure,https://openai.com/index/ | https://deepmind.google/technologies/gemini/ | https://x.ai/blog,84,medium,low,P2,NAI-API-CONTRACT-00004,API,api-platform,specified,2026-Q3,sdk example verification
L0-12,Platform and API Ecosystem Expansion,L1-12-04,Deployment profiles for self-hosted and enterprise,enterprise adoption trajectory across all competitors,https://openai.com/index/ | https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,90,high,medium,P1,NAI-PLATFORM-OPS-00003,PLATFORM,platform-selfhost,specified,2026-Q3,deployment profile conformance tests
