l0_id,l0_capability,l1_id,l1_feature,competitor_signals,source_urls,value_score,urgency,effort,priority,l2_feature_id,l2_domain,l2_owner_team,l2_state,target_window,evidence_gate
L0-01,Autonomous Task Execution and Browser/Computer Use,L1-01-04,Sensitive action confirmation workflow,OpenAI Operator confirmations/watch mode,https://openai.com/index/introducing-operator/,96,high,low,P0,NAI-SAFETY-SECURITY-00001,SAFETY,safety-runtime,specified,2026-Q2,approval-required integration tests
L0-09,Safety Oversight and Policy Enforcement,L1-09-01,Multi-layer safety pipeline with monitor model,OpenAI monitor model and safeguards; Anthropic RSP framing,https://openai.com/index/introducing-operator/ | https://www.anthropic.com/news,96,high,medium,P0,NAI-SAFETY-SECURITY-00005,SAFETY,safety-runtime,specified,2026-Q2,safety pipeline end-to-end tests
L0-04,Tool Calling and External Action Reliability,L1-04-04,Human confirmation before irreversible actions,Operator confirmation design,https://openai.com/index/introducing-operator/,95,high,low,P0,NAI-AUTH-SECURITY-00001,AUTH,identity-access,specified,2026-Q2,approval + authz integration tests
L0-06,Real-Time Search and Retrieval-Grounded Answers,L1-06-03,Hallucination guardrails for missing evidence,Safety trust pressure across all competitors,https://openai.com/index/ | https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,95,high,medium,P0,NAI-SAFETY-SECURITY-00004,SAFETY,safety-runtime,specified,2026-Q2,evidence-required response tests
L0-09,Safety Oversight and Policy Enforcement,L1-09-02,Prompt-injection and adversarial content defenses,Operator anti-prompt-injection safeguards,https://openai.com/index/introducing-operator/,95,high,medium,P0,NAI-SAFETY-SECURITY-00006,SAFETY,safety-runtime,specified,2026-Q2,adversarial eval suite
L0-01,Autonomous Task Execution and Browser/Computer Use,L1-01-01,Browser action mode with takeover checkpoints,OpenAI Operator; Claude Sonnet 4.6 computer use (Vercept acquisition); xAI tool-calling/agents,https://openai.com/index/introducing-operator/ | https://x.ai/blog,95,high,medium,P0,NAI-TOOLS-TOOLING-00001,TOOLS,tooling-runtime,specified,2026-Q2,approval flow tests + audit trail
L0-08,Enterprise and Team Governance,L1-08-01,Team policies for tool and data access,Enterprise plans and controls across OpenAI/Anthropic/Microsoft,https://openai.com/index/ | https://www.anthropic.com/news | https://www.microsoft.com/en-us/microsoft-copilot/blog/,94,high,medium,P0,NAI-AUTH-SECURITY-00002,AUTH,identity-access,specified,2026-Q2,policy enforcement tests
L0-09,Safety Oversight and Policy Enforcement,L1-09-03,Action policy gating for high-stakes tasks,Operator task limitations and watch mode,https://openai.com/index/introducing-operator/,94,high,low,P0,NAI-SAFETY-SECURITY-00007,SAFETY,safety-runtime,specified,2026-Q2,high-stakes denylist tests
L0-11,Evaluation Benchmarking and Quality Operations,L1-11-04,Safety benchmark tracking and release gating,Claude Opus 4.6 system card safety gate; OpenAI safety disclosures,https://openai.com/index/ | https://www.anthropic.com/news | https://www.anthropic.com/news/claude-opus-4-6,94,high,medium,P0,NAI-SAFETY-SECURITY-00008,SAFETY,safety-runtime,specified,2026-Q2,safety gate release tests
L0-04,Tool Calling and External Action Reliability,L1-04-01,Robust tool call retries with typed error handling,Operator task reliability; Copilot action reliability,https://openai.com/index/introducing-operator/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/,94,high,low,P0,NAI-TOOLS-TOOLING-00004,TOOLS,tooling-runtime,specified,2026-Q2,retry/backoff contract tests
